id,titre,lien,note,nb_avis,img_url,category
27,Döner  kebab,/recettes/recette_doner-kebab_12628.aspx,3.4/5,"
            7 avis
        ",https://assets.afcdn.com/recipe/20210304/118354_w225h225c1cx1060cy707cxt0cyt0cxb2121cyb1414.jpg,viande
28,Bourguignon de sanglier facile,/recettes/recette_bourguignon-de-sanglier-facile_232489.aspx,4.8/5,"
            28 avis
        ",https://assets.afcdn.com/recipe/20181017/82812_w225h225c1cx1944cy2592cxt0cyt0cxb3888cyb5184.jpg,viande
29,Steak de thon poêlé,/recettes/recette_steak-de-thon-poele_344161.aspx,4.9/5,"
            9 avis
        ",https://assets.afcdn.com/recipe/20181126/84235_w225h225c1cx2736cy1824cxt0cyt0cxb5466cyb3641.jpg,viande
30,Boulettes de kefta à la marocaine,/recettes/recette_boulettes-de-kefta-a-la-marocaine_17570.aspx,4.7/5,"
            145 avis
        ",https://assets.afcdn.com/recipe/20161114/55224_w225h225c1cx1360cy1360.jpg,viande
1,Papillotes de saumon aux clémentines,/recettes/recette_papillotes-de-saumon-aux-clementines_54028.aspx,5/5,"
            18 avis
        ",https://assets.afcdn.com/recipe/20140215/13373_w225h225c1cx320cy240.jpg,poisson
2,Papillotes de sole tropicale sur lit de poireaux,/recettes/recette_papillotes-de-sole-tropicale-sur-lit-de-poireaux_27490.aspx,5/5,"
            15 avis
        ",https://assets.afcdn.com/recipe/20130204/22879_w225h225c1cx256cy192.jpg,poisson
3,Filets de merlan à la crème de poivrons,/recettes/recette_filets-de-merlan-a-la-creme-de-poivrons_224944.aspx,5/5,"
            15 avis
        ",https://assets.afcdn.com/recipe/20120406/19605_w225h225c1cx256cy192.jpg,poisson
4,Soupe de poisson marseillaise de lucette,/recettes/recette_soupe-de-poisson-marseillaise-de-lucette_51252.aspx,5/5,"
            14 avis
        ",https://assets.afcdn.com/recipe/20130720/46445_w225h225c1cx1296cy968.jpg,poisson
5,Papillotes de saumon au gingembre,/recettes/recette_papillotes-de-saumon-au-gingembre_70481.aspx,5/5,"
            14 avis
        ",https://assets.afcdn.com/recipe/20180106/76541_w225h225c1cxt0cyt0cxb3264cyb2448.jpg,poisson
6,"Papillote de daurade et saumon, mirepoix de légumes",/recettes/recette_papillote-de-daurade-et-saumon-mirepoix-de-legumes_17925.aspx,5/5,"
            9 avis
        ",https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,poisson
7,Fish burger,/recettes/recette_fish-burger_534943.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20230126/139873_w225h225c1cx1512cy2016cxt0cyt0cxb3024cyb4032.jpg,poisson
8,Suprême de pintade,/recettes/recette_supreme-de-pintade_533853.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,poisson
9,Waterzoï d'églefin par Laurent Mariotte,/recettes/recette_waterzoi-d-eglefin-par-laurent-mariotte_532804.aspx,5/5,"
            1 avis
        ",https://assets.afcdn.com/recipe/20220106/126905_w225h225c1cx1398cy657cxt0cyt0cxb2796cyb1314.png,poisson
10,"Riz au curry, haddock kedgeree par Laurent Mariotte",/recettes/recette_riz-au-curry-haddock-kedgeree-par-laurent-mariotte_531948.aspx,5/5,"
            1 avis
        ",https://assets.afcdn.com/recipe/20211018/122812_w225h225c1cx1396cy774cxt0cyt0cxb2792cyb1548.png,poisson
11,Tataki de thon rouge au miso/jaune d’œuf confit au soja et citronnelle,/recettes/recette_tataki-de-thon-rouge-au-miso_531501.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,poisson
12,Dorade au citron confit par Laurent Mariotte,/recettes/recette_dorade-au-citron-confit-par-laurent-mariotte_531698.aspx,5/5,"
            1 avis
        ",https://assets.afcdn.com/recipe/20210908/121882_w225h225c1cx1351cy666cxt0cyt0cxb2702cyb1332.png,poisson
13,Pavés de saumon au four facile,/recettes/recette_paves-de-saumon-au-four-facile_80135.aspx,4.7/5,"
            39 avis
        ",https://assets.afcdn.com/recipe/20200219/107897_w225h225c1cx4218cy1918cxt2309cyt0cxb6000cyb3842.jpg,poisson
14,Dos de cabillaud tout simple,/recettes/recette_dos-de-cabillaud-tout-simple_72532.aspx,4.7/5,"
            136 avis
        ",https://assets.afcdn.com/recipe/20180716/81276_w225h225c1cx1906cy2541cxt0cyt0cxb3812cyb5082.jpg,poisson
15,Bar au four,/recettes/recette_bar-au-four_21505.aspx,4.8/5,"
            137 avis
        ",https://assets.afcdn.com/recipe/20180209/77488_w225h225c1cx2828cy1963cxt0cyt0cxb5656cyb3927.jpg,poisson
16,Lotte à l'Armoricaine : recette savoureuse,/recettes/recette_lotte-a-l-armoricaine_16975.aspx,4.8/5,"
            121 avis
        ",https://assets.afcdn.com/recipe/20130627/17071_w225h225c1cx1032cy2250cxt0cyt1400cxb2500cyb3571.jpg,poisson
17,Ailes de raie aux câpres,/recettes/recette_ailes-de-raie-aux-capres_172258.aspx,4.6/5,"
            43 avis
        ",https://assets.afcdn.com/recipe/20170626/69851_w225h225c1cx2592cy1728.jpg,poisson
18,Brandade de morue,/recettes/recette_brandade-de-morue_12736.aspx,4.7/5,"
            226 avis
        ",https://assets.afcdn.com/recipe/20230317/141296_w225h225c1cx745cy672cxt0cyt0cxb2121cyb1332.jpg,poisson
19,Filet de lieu noir  crème et moutarde,/recettes/recette_filet-de-lieu-noir-creme-et-moutarde_343779.aspx,4.9/5,"
            40 avis
        ",https://assets.afcdn.com/recipe/20220519/132114_w225h225c1cx3072cy1728cxt0cyt0cxb6144cyb3456.jpeg,poisson
20,Sole meuniere,/recettes/recette_sole-meuniere_165182.aspx,4.8/5,"
            58 avis
        ",https://assets.afcdn.com/recipe/20200430/110175_w225h225c1cx1920cy2880cxt0cyt0cxb3840cyb5760.jpg,poisson
21,Fish and Chips (la vraie pâte à friture anglaise),/recettes/recette_fish-and-chips-la-vraie-pate-a-friture-anglaise_22308.aspx,4.8/5,"
            109 avis
        ",https://assets.afcdn.com/recipe/20160531/29017_w225h225c1cx3000cy2000.jpg,poisson
22,Amour de saumon en papillote,/recettes/recette_amour-de-saumon-en-papillote_21494.aspx,4.7/5,"
            973 avis
        ",https://assets.afcdn.com/recipe/20150922/57763_w225h225c1cx1296cy864.jpg,poisson
23,Papillottes de poisson pour les nuls,/recettes/recette_papillottes-de-poisson-pour-les-nuls_46408.aspx,4.7/5,"
            26 avis
        ",https://assets.afcdn.com/recipe/20221013/136075_w225h225c1cx3072cy1728cxt0cyt0cxb6144cyb3456.jpg,poisson
24,Truite au four,/recettes/recette_truite-au-four-simple_223228.aspx,4.6/5,"
            5 avis
        ",https://assets.afcdn.com/recipe/20160626/5974_w225h225c1cx1560cy2080.jpg,poisson
