id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00193,marron,marrons,Marrons,1370,"0,94","< 0,5","79,5","56,6","0,9",,"< 0,01",,marrons
00194,chair,chairs,,,,,,,,,,,
00195,estragon,estragons,Estragon,184,"3,8",traces,"4,1","1,2","6,2",,"0,6",,estragon
00196,girofle,girofle,Girofle,1390,"5,97",13,"31,6","2,38","33,9",,"3,95",0,girofle
00197,Grand-marnier,Grand-marnier,Grand-marnier,,"1,5",7,"8,45","6,6",traces,,"4,85",,grand-marnier
00198,pruneau,pruneaux,Pruneau,969,"1,63","0,4","55,4","38,1","5,1",,"0,16",0,pruneau
00199,margarine,margarine,Margarine,2600,"0,13",70,"0,24","0,24",0,,"29,2","5,6",margarine
00200,lieu,lieus,,,,,,,,,,,
00201,maroilles,maroilles,Maroilles,1450,"20,8","29,5",traces,,0,,"17,3",,maroilles
00202,baie,baies,,,,,,,,,,,
00203,haricot,haricots,Haricot,152,"1,95","0,19","5,1","1,23","3,3",,"0,042",0,haricot
00204,purée,purées,Purée,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9",puree
00205,carvi,carvi,Carvi,1380,"19,8","14,6","11,9","0,64",38,,"0,62",0,carvi
00206,butternut,butternuts,Butternut,,"1,23","0,07",,,,,"0,014",0,butternut
00207,sauceline,saucelines,Sauceline,,,,,,,,,,sauceline
00208,mozzarella,mozzarellas,Mozzarella,949,"16,1","17,7","0,75","0,7",0,,"11,7",79,mozzarella
00209,tendron,tendrons,,,,,,,,,,,
00210,boyau,boyaux,Boyau,,,,,,,,,,boyau
00211,laitue,laitues,Laitue,856,"15,9","2,03","13,8",,"34,4",,"0,36",,laitue
00212,chou-fleur,chou-fleurs,Chou-fleur,"87,3","1,6","0,46","1,6","1,59",2,,"0,097",0,chou-fleur
