Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
Pop corn,1770,3,"6,5","85,4",62,3,,1,
Porc,860,"29,1","9,78","0,24",,0,,"3,52",78
Porc effiloché,860,"29,1","9,78","0,24",,0,,"3,52",78
Porcelet,,,,,,,,,
Port-salut,,,,,,,,,
Porto,,,,,,,,,
Porto rouge,"60,7","0,94","< 0,5","1,53","1,1","1,4",,"< 0,01",0
Pot-au-feu,326,"10,9","2,02","3,2","1,5","1,5",,"0,82","28,8"
Potatoe,732,"3,25","5,8","25,3",traces,"3,4",,"0,64","< 0,7"
Potimarron,161,"1,06","0,3","6,88","3,5","1,8",,"0,08",
Potiron,127,"< 0,5","< 0,3","5,66","4,8",2,,"< 0,01",
Poudre à chili,494,"7,13","3,35",13,"2,58","3,56",,"1,13","14,6"
Poudre à colombo,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Poudre à flan,,"3,69","11,3","29,2","18,4","0,7",,"7,16","53,4"
Poudre à lever,,"1,96","0,2","33,2","0,1","1,9",,"< 0,1",0
Poudre arôme orange,192,"0,75","< 0,5","8,03","7,6","2,7",,"< 0,01",0
Poudre d'acaï,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Poudre d’amandes,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Poudre de coco,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Poudre de colombo,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Poudre de lait,1540,"34,6","0,7",54,"53,1",0,,"0,34",13
Poudre de noisette,,17,"56,9","7,16","4,9","11,6",,"4,75",0
Poudre de noix,3700,0,100,0,0,0,,10,0
Poudre de piment de cayenne,1560,12,"17,3","29,4","10,3","27,2",,"3,26",0
Poudre de pistache,,"21,7","47,4","18,6","7,74","10,1",,"5,52",0
Poudre de pudding,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Poudre de pudding goût chantilly,1270,"2,06","28,2","10,6","10,4",< 3,,"18,9",76
Poudre dorée,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Poularde,,,,,,,,,
Poule,523,"20,9","4,51",0,0,0,,"1,12",64
Poulet,785,"24,8","9,52","0,7",0,0,,,133
Poulet entier,785,"24,8","9,52","0,7",0,0,,,133
Poulpe,659,"29,8","2,08","4,4",0,0,,"0,45",96
Poumon,,,,,,,,,
Pourpier,,,,,,,,,
Pousse de bambou,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0
Pousse de lotus,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0
Pousse-Rapière,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0
Pousses d'épinards,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0
Pousses de moutarde rouge,632,"6,92","11,2","4,33","1,66",< 1,,"0,76",0
Pousses de moutarde verte,632,"6,92","11,2","4,33","1,66",< 1,,"0,76",0
Pousses de soja,,"2,81","< 0,5","3,4","3,4","1,7",,"< 0,0002",0
Pousses germées,,"2,81","< 0,5","3,4","3,4","1,7",,"< 0,0002",0
Poussin,,,,,,,,,
Poutargue,,,,,,,,,
Praire,420,"16,2","1,48","5,33",0,0,,"0,14","50,5"
Pralin,,"9,1","34,7","51,5","46,2","2,1",,"13,6",
Praliné,,"9,1","34,7","51,5","46,2","2,1",,"13,6",
Praline,,"9,1","34,7","51,5","46,2","2,1",,"13,6",
Praline rouge,,"9,1","34,7","51,5","46,2","2,1",,"13,6",
Pralines roses,,"0,77","0,14","6,2","6,2","1,6",,"0,021",0
Pralinoise,,,,,,,,,
Préparation pour flan nature,,"8,5","14,1","58,1","28,1","1,3",,"6,51","54,7"
Présure,,,,,,,,,
Prosciutto,,,,,,,,,
Prosecco,,,,,,,,,
Protéine de soja,600,"20,4","2,9","7,03","3,65","5,61",,"0,47",
Provolone,1420,"25,1","26,6",traces,0,0,,"17,1",69
Prune,,"0,66","0,29","9,92","9,92","1,5",,"0,038",0
Pruneau,969,"1,63","0,4","55,4","38,1","5,1",,"0,16",0
Prunelle,,,,,,,,,
Psyllium,,,,,,,,,
Pulpe de tomate,110,"1,2","< 0,5","3,63","3,2","1,8",,"< 0,01",0
Punch coco,,"0,6","< 0,6","17,8","17,8","< 0,5",,"< 0,00024",
Purée,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée d'amandes,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée d'aubergine,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée d'épinard,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée d'oignon,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée d’amande complète extra douce Perl’Amande,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée de cacahuète,,"25,4","52,5","16,1","10,5",5,,"10,4",0
Purée de carotte,185,"1,44","1,6","4,57","4,39",3,,"0,99","5,54"
Purée de fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Purée de fruit de la passion,,"1,08","0,37",,,,,,
Purée de litchi,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée de marrons,,"1,13","0,7","59,8",43,"3,2",,0,
Purée de noisettes,,17,"56,9","7,16","4,9","11,6",,"4,75",0
Purée de noix de cajou,,18,"49,5","26,7","8,01","3,85",,"10,5",0
Purée de passion,385,"2,11","3,25","12,7","1,49","1,58",,"1,71","4,9"
Purée de pêche,,"1,08","0,33",9,"8,16","1,6",,"0,027",0
Purée de piment,1560,12,"17,3","29,4","10,3","27,2",,"3,26",0
Purée de tomate,199,"1,4","0,4","7,54","3,64","2,38",,"0,085",0
Purée de tomate en bouteille,199,"1,4","0,4","7,54","3,64","2,38",,"0,085",0
Quasi de veau,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Quatre-épices,1460,"6,09","8,69","50,5",,"21,6",,"2,55",0
Quatre-quart,,"5,94","25,6",46,"26,8","1,1",,"15,8",178
Quatre-quarts,,"5,94","25,6",46,"26,8","1,1",,"15,8",178
Quenelle,780,"9,3","10,1","14,1","1,2","1,1",,"1,5",
Quenelle de veau,688,"3,52","9,5","15,6","0,94","1,39",,"4,56",
Quetsche,,,,,,,,,
Queue,820,28,"9,3",traces,,0,,"3,72",82
Queue d'écrevisse,820,28,"9,3",traces,,0,,"3,72",82
Queue de crevette,397,19,"1,16","1,87","< 0,25",0,,"0,31",159
Queue de langouste,449,"21,8","1,52","1,3",0,0,,"0,26",80
Quinoa,625,5,"1,1","27,9","0,87","3,8",,"0,14",0
Quinquina,,,,,,,,,
Quorn,,,,,,,,,
Râble de lapin,697,"20,5","9,2","0,5",,0,,"3,42","75,9"
Râble de lièvre,466,"21,6","2,67",0,0,0,,"0,93",60
Racine de gentiane,137,"1,1","1,1","3,4",1,"2,7",,"0,09",0
Raclette,1430,"22,9","27,5",traces,traces,0,,"18,5","99,6"
Radis,123,"0,94","< 0,3","5,52","4,3","1,2",,"< 0,01",
Radis long,123,"0,94","< 0,3","5,52","4,3","1,2",,"< 0,01",
Radis noir,123,"0,94","< 0,3","5,52","4,3","1,2",,"< 0,01",
Raffaelo,,,,,,,,,
Ragondin,,,,,,,,,
Raie,415,"23,2","0,57",traces,0,0,,"0,12",67
Raifort,,"7,5","0,7",13,,"7,5",,"0,11",0
Raisin,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0
Raisin blanc,311,"0,75","< 0,5","16,6","15,5",1,,"< 0,01","< 0,13"
Raisin muscat,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0
Raisin noir,,"0,63","0,4","15,6",15,"1,4",,"0,13",0
Raisin sec sultan,1360,3,"0,9","73,2","70,3","4,2",,"0,31",0
Raisiné,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0
Raisins de Corinthe,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0
Raisins secs,1360,3,"0,9","73,2","70,3","4,2",,"0,31",0
Rameau de fleur d'acacia,0,0,0,0,0,0,,,
Ramen,,,,,,,,,
Rapadura,,,,,,,,,
Ras el Hanout,,,,,,,,,
Rascalat,,,,,,,,,
Rascasse,533,"24,6","3,1",traces,0,0,,"0,61","48,9"
Ratafia,,,,,,,,,
Ratatouille,,"1,22","3,15","4,97","3,91","2,03",,"0,47","0,07"
Rate,,,,,,,,,
Ratte,,,,,,,,,
Raviole,951,10,"8,3","26,8","4,4","1,9",,"4,64","36,2"
Raviole de Royans,951,10,"8,3","26,8","4,4","1,9",,"4,64","36,2"
Ravioli,837,"7,98","6,53","25,7","2,82","2,52",,"2,88",30
Reblochon,1360,"19,9","27,4",traces,0,0,,"18,8","89,9"
Réglisse,,,,,,,,,
Reine-claude,301,"0,94","< 0,5","16,4","10,4","1,7",,"< 0,01","< 0,22"
Relish,,,,,,,,,
Renne,,,,,,,,,
Requin,461,"20,8","2,91",traces,0,0,,"0,48",51
Rhubarbe,,"0,78","0,23","1,47","1,47","2,47",,"0,053",0
Rhum,1060,0,0,0,0,0,,0,0
Rhum ambré,1060,0,0,0,0,0,,0,0
Rhum bacardi,1060,0,0,0,0,0,,0,0
Rhum blanc,1060,0,0,0,0,0,,0,0
Rhum brun,1060,0,0,0,0,0,,0,0
"Rhum cubain (havana club, bacardi)",1060,0,0,0,0,0,,0,0
Rhum vieux,1060,0,0,0,0,0,,0,0
Rice crispies,1660,7,"1,5",87,8,1,,"0,3",
Ricoré,,,,,,,,,
Ricotta,,"8,61","11,9",4,"2,25",0,,"8,08",51
Riesling,1050,"10,2","12,6","23,7","2,25","1,2",,"6,2",
Rigatoni,,,,,,,,,
Rillettes,1510,"14,9","33,4","0,99",,traces,,"9,82",101
Rillons,,,,,,,,,
Ris de veau,572,21,"5,8",0,0,0,,"1,65",275
Risotto,817,"5,93","5,16","30,9","0,58","0,7",,"2,49",
Riz,612,"3,06","0,41","31,8","< 0,2","0,8",,"0,076","0,75"
Riz basmati,492,"2,88","0,6","24,4",traces,1,,"0,3",
Riz blanc,1490,"7,4","0,91",78,"0,16","1,05",,"0,2",0
Riz gluant,612,"3,06","0,41","31,8","< 0,2","0,8",,"0,076","0,75"
"Riz, céréales",1690,"7,51","6,77",75,"24,4","4,98",,"2,42","0,85"
Riz long,1000,"27,1","14,7",0,0,0,,"5,37",82
Riz long de Camargue,1000,"27,1","14,7",0,0,0,,"5,37",82
Riz noir,612,"3,06","0,41","31,8","< 0,2","0,8",,"0,076","0,75"
Riz pour risotto,,"3,11","9,53","4,24","0,68","1,4",,7,
Riz rond,612,"3,06","0,41","31,8","< 0,2","0,8",,"0,076","0,75"
Riz sauvage,427,"3,99","0,34","19,7","0,73","1,8",,"0,049",0
Riz soufflé,1630,"7,69",3,"80,5","0,73","2,9",,"0,54",
Riz surinam,612,"3,06","0,41","31,8","< 0,2","0,8",,"0,076","0,75"
Riz thaï,602,"3,06","0,7","30,5",traces,"1,1",,"0,3",
Rocamadour,1140,"17,5","22,6",traces,"< 0,14",0,,"17,1","65,5"
Rognon de veau,701,26,7,0,0,0,,"2,14",396
Rognons,678,"26,1","6,31",0,0,0,,"1,61",440
Romaine,,"1,24","0,3","1,2","1,19","2,1",,"0,04",0
Romarin,1350,"4,88","15,2","21,5",,"42,6",,"7,37",0
Rooibos,,,,,,,,,
Roquefort,1600,"19,1","33,9",traces,traces,0,,"24,9","74,7"
Roquette,,"2,58","0,66","2,1","2,05","1,6",,"0,086",0
Rosbif,494,"21,9","3,16","0,3",,0,,"0,62","18,1"
Rose,,"0,77","0,14","6,2","6,2","1,6",,"0,021",0
Rosette,1580,"24,2","30,7","1,79","1,46",traces,,"11,8","97,7"
Rösti,,,,,,,,,
Rôti de biche,689,"30,5","4,31","0,65",0,0,,"1,32","65,5"
Rôti de boeuf,689,"30,5","4,31","0,65",0,0,,"1,32","65,5"
Rôti de dindonneau,689,"30,5","4,31","0,65",0,0,,"1,32","65,5"
Rôti de porc,689,"30,5","4,31","0,65",0,0,,"1,32","65,5"
Rôti de porc,689,"30,5","4,31","0,65",0,0,,"1,32","65,5"
Rôti de veau,603,"28,1","3,39",0,,0,,"1,22",103
Roucaou,,,,,,,,,
Roucoulons,1380,"17,8",29,traces,0,0,,"18,5",68
Roudor,,,,,,,,,
Rouelle,1110,"36,9","13,1",traces,,0,,,
Rouget,602,"24,1","5,2",traces,0,0,,"0,73","63,9"
Rouille,,"1,1","41,4",1,,0,,"5,7",
Rouleau de réglisse,437,"4,57","1,82","16,6","3,6","1,2",,"0,66","13,9"
Rouy,,,,,,,,,
Rue,,,,,,,,,
Rumsteak,,,,,,,,,
Rumsteck,482,"22,5","2,5","0,4",0,0,,"0,78",63
Rutabaga,,"0,93","0,18","4,26","3,95","1,8",,"0,029",0
Sablés,,"8,38","22,9","59,4",,"3,3",,,98
Sabodet,,,,,,,,,
Sabre,524,18,"5,9",traces,0,0,,"0,94",
Sachet de soupe à l'oignon,169,"1,35","1,4","4,93","1,5","1,34",,"0,55",0
Safran,1490,"11,4","5,85","61,5","42,4","3,9",,"1,59",0
Saindoux,3680,0,"99,5",0,0,0,,"41,1",95
Saint Morêt,,"7,49","21,2","1,4","1,4",0,,"11,4","55,9"
Saint-felicien,1170,"13,1","25,2",traces,0,0,,18,"81,3"
Saint-florentin,2150,"9,31","28,7","50,7","44,1","7,6",,"10,8","21,4"
Saint-marcellin,1160,"14,8","24,3",traces,"< 0,2",0,,"18,1","93,4"
Saint-nectaire,1390,"22,3",27,traces,"< 0,5",0,,"17,8",
Saint-paulin,1370,"21,8","26,4",traces,traces,0,,"17,9","89,5"
Saint-pierre,1230,"18,5","24,5",traces,,0,,"16,8","99,7"
Sainte-maure de Touraine,1230,"19,2","24,2",traces,,0,,"18,7",
Saka-Saka,,,,,,,,,
Saké,552,0,0,5,0,0,,0,0
Sakura Denbu (poudre rose à base de soka),1100,"7,7","2,6","51,1","1,8",1,,"0,8",
Salade,,2,0,"2,5",0,2,,0,
Salade frisée,,"1,9","0,4","3,63","1,25",2,,"0,052",0
Salade mélangée,,2,0,"2,5",0,2,,0,
Salami,1870,"17,7","41,8","1,05","< 0,2",traces,,"16,2","95,9"
Salers,1620,"25,4","31,4",traces,"< 0,2",0,,20,103
Salicorne,,"0,67","0,24","1,1",,"2,46",,,
Salpêtre,,,,,,,,,
Salpicão,,,,,,,,,
Salsifis,243,"2,63","< 0,3","9,29","2,3","4,5",,"< 0,01",
Sambal Oelek,,,,,,,,,
Sancerre,,,,,,,,,
Sandre,351,"18,3","1,08",traces,0,0,,"0,21","70,3"
Sang,349,"19,5","0,12","0,8","0,8",0,,"0,04",190
Sanglier,643,"28,3","4,38",0,0,0,,"1,3",77
Sangria,,0,"0,05","10,3","9,5",0,,0,
Sanguin,,"0,63","0,1","10,2","9,75","0,68",,"0,043",0
Sar,,,,,,,,,
Sardine,683,"19,5","9,48",traces,0,0,,"2,4","78,9"
Sarrasin,1470,"11,5","2,19","68,4","0,03","4,2",,"0,33",0
Sarriette,1090,"6,73","5,91",23,,"45,7",,"3,26",0
Satay,,,,,,,,,
Saté,,,,,,,,,
Sauce à l'oseille,,"1,3",15,"1,7","1,7","3,2",,10,
Sauce à tacos,,"1,3",15,"1,7","1,7","3,2",,10,
Sauce aigre douce,,"0,55","0,2","20,1","15,9","0,97",,"0,063",0
Sauce américaine,,"1,42","41,8","9,48","5,1","0,2",,"3,7",
Sauce anglaise,443,"3,44","2,5","16,7","12,9",1,,"1,55","26,6"
Sauce armoricaine,,"2,1","6,6","3,95","0,73",traces,,"6,3",
Sauce Arrabiata,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce asiatique,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce au gingembre,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0
Sauce au poivre,,"1,3","6,1","5,3","1,3","1,3",,"2,87",
Sauce barbecue,578,"0,56","0,6","30,3","27,5","1,2",,"0,1",0
Sauce basque,,"4,03","13,3","57,4","28,1",1,,"7,55","53,1"
Sauce béarnaise,,"0,88","47,7","4,52","2,3","0,48",,"3,55","48,9"
Sauce blanche,143,"< 0,5","< 0,6","0,43","0,18",0,,,
Sauce bolognaise,,"4,22","4,81","7,27","4,74","2,29",,"1,78","13,7"
Sauce bourguignonne,,"1,25","43,9","7,85","5,23","0,52",,"3,59",32
Sauce brune,,"21,3","42,2","3,56","1,4","26,9",,"4,61",
Sauce burger,,"1,06","33,8","13,3","10,3","0,48",,"3,11","20,5"
Sauce caramel,560,"4,35","3,6","20,6",18,traces,,"1,93",12
Sauce césar,,"8,13",10,"4,88","1,71",2,,"2,36","40,7"
Sauce chili,494,"7,13","3,35",13,"2,58","3,56",,"1,13","14,6"
Sauce chocolat,1160,"3,8","16,8","26,2","24,1",3,,"10,9",
Sauce cocktail,,"0,6","< 0,6","17,8","17,8","< 0,5",,"< 0,00024",
Sauce crudité,,"0,86","30,9","5,3","4,06","0,35",,"3,22",0
Sauce d'huître,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce de rôti,689,"30,5","4,31","0,65",0,0,,"1,32","65,5"
Sauce demi-glace,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Sauce forestière,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce hamburger,1030,"13,3","8,44","28,3","5,95","1,8",,"2,82",29
Sauce hannibal,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce harissa,,"2,72","2,9","7,3",,"5,1",,"0,47",
Sauce hoisin,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce hollandaise,,"1,19","19,8","4,58","0,7","0,5",,"7,23","56,7"
Sauce HP,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce huître,283,"8,64","1,91","3,86",traces,0,,"0,34","20,3"
Sauce italienne,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce ketchup,420,"1,27","0,19","21,4","20,8","1,15",,"0,069",0
Sauce maggi,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce napolitaine,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce nem,573,"1,38","< 0,5","31,2","30,9","< 0,25",,"< 0,01",
Sauce nuoc mam,573,"1,38","< 0,5","31,2","30,9","< 0,25",,"< 0,01",
Sauce okonomiyaki,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce pesto basilic,1530,"3,94","35,4","6,6","3,2","2,5",,"4,39","18,2"
Sauce pesto rosso,,"4,8",27,"8,58","2,75","4,15",,"3,95",
Sauce pimentée,,"1,87","0,32","7,7","5,3","1,65",,"0,031",0
Sauce piquante,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce piri-piri,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce pistou,134,2,"0,5","4,1","< 0,25","1,5",,"0,2",
Sauce pizza,979,"10,8","8,39","27,3","2,93","2,38",,"3,93","20,8"
Sauce poisson,478,"11,8","5,5","3,9","1,65",1,,"3,31","45,6"
Sauce ponzu,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce pour nem,573,"1,38","< 0,5","31,2","30,9","< 0,25",,"< 0,01",
Sauce pour wok au curry doux,324,"1,02","3,16","10,6","5,83","1,28",,"2,11","7,5"
Sauce provençale,,"1,65","4,32","6,55","2,71",2,,"0,94",4
Sauce salsa,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce satay,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce sichuan,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce soja,193,"7,08","0,1","3,64","1,32","0,86",,"0,0085",0
Sauce Sriracha,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce sukiyaki,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce sweet chili,494,"7,13","3,35",13,"2,58","3,56",,"1,13","14,6"
Sauce tamari,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce tartare,,"0,99",55,"4,6","3,11","0,47",,"4,99","35,1"
Sauce Tempura,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce teriyaki,,"3,82","1,06",16,"13,2","0,1",,"0,3",0
Sauce thaï,602,"3,06","0,7","30,5",traces,"1,1",,"0,3",
Sauce tomate,,"3,94","14,2","8,09","4,6","2,41",,"3,83",
Sauce Worcester,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce worcestershire,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8"
Sauce Yakitori,727,26,"3,3","9,3","6,6","0,6",,"1,2","86,6"
Sauceline,,,,,,,,,
Saucisse,1170,"17,3",23,"0,88","0,65","0,29",,"9,44","78,5"
Saucisse cocktail,1200,"12,7","25,9","1,46","1,09","0,27",,"9,59","64,7"
Saucisse de Francfort,1120,"13,7","23,4","1,24",1,"< 0,5",,9,"73,1"
Saucisse de Montbéliard,1320,"17,3","27,3",1,"0,75",0,,"10,5",78
Saucisse de Morteau,1640,16,"36,6",1,"0,5",0,,,
Saucisse de Strasbourg,1200,"12,4","25,9","1,39","1,06","1,37",,"10,9","73,1"
Saucisse de Toulouse,1140,"18,8","22,1",0,0,0,,"8,2","88,5"
Saucisse sèche,1870,"27,3","37,1","1,7","1,21","0,59",,"14,5",
Saucisses cuites pour Hot Dog,1160,"10,9","13,8","26,3","5,2","1,6",,"5,18","34,7"
Saucisses Knacki® Original HERTA®,1200,"12,7","25,9","1,46","1,09","0,27",,"9,59","64,7"
Saucisson,1290,"14,7","17,4","22,6","3,8",2,,"8,6","86,4"
Saucisson à cuire lyonnais,,"16,8","30,7",,0,traces,,,
Saucisson à l'ail,1160,15,"23,6","1,63","0,86","0,63",,"9,92",
Saucisson sec,1730,"24,2","34,5","2,41","1,2","0,73",,"11,3","99,4"
Sauge,152,4,"< 0,5","0,97","0,3",7,,"< 0,01",0
Saumon,805,25,"10,3",traces,0,0,,,
Saumon au naturel,471,"26,8","0,4",0,0,0,,"0,086",50
Saumon frais,805,25,"10,3",traces,0,0,,,
Saumon fumé,743,22,"9,49","0,91",0,"< 0,25",,"2,06","72,1"
Saumonette,1070,"25,4","17,2",traces,0,0,,"4,11","60,1"
Saurel,,,,,,,,,
Sauté d'agneau,538,20,"5,13","0,48",0,0,,"1,97","72,7"
Sauté de dinde,538,20,"5,13","0,48",0,0,,"1,97","72,7"
Sauté de porc,574,"2,5","5,7","17,3","2,2","2,6",,"1,16",
Sauté de veau,574,"2,5","5,7","17,3","2,2","2,6",,"1,16",
Sauterelle,,,,,,,,,
Sauternes,,,,,,,,,
Savon noir liquide,381,"0,69","< 0,5",20,"19,6","2,7",,"< 0,01",
Savora,,,,,,,,,
Sbrinz,,,,,,,,,
Scamorza,,,,,,,,,
Scampi,,,,,,,,,
Scarole,,"1,25","0,2","0,3","0,23","3,1",,"0,048",0
Schnaps,,,,,,,,,
Schweppes,,"0,068","0,066","8,28","7,38","0,05",,0,0
Scorsonère,,"3,13","0,3","15,3",,"3,3",,"< 0,1",0
Sébaste,378,"18,8","1,6",traces,0,0,,"0,31","47,2"
Seiche,323,"16,2","1,05","0,51",0,0,,"0,35",111
Seigle,1450,"8,7","1,37","70,7","0,93","7,15",,"0,15",0
Seitan,566,"20,6","2,5","6,74","0,81","0,9",,"0,38",
Sel,0,0,0,0,0,0,,,
Sel au piment d'Espelette,204,"1,81","2,53","4,14",0,"1,19",,,
Sel aux épices,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
Sel aux herbes,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301
Sel de céleri,204,"1,81","2,53","4,14",0,"1,19",,,
Sel de Guérande,0,0,0,0,0,0,,,
Sel et poivre,1380,"13,3","7,5","39,5","0,64","25,7",,"2,9",0
Sel fin,0,0,0,0,0,0,,,
Sel gris,0,0,0,0,0,0,,,
Selle d'agneau,979,"17,5","18,4",0,0,0,,"7,95",78
Selles-sur-Cher,1210,"18,9","23,9",traces,,0,,18,
Semoule,510,"3,75","0,8",24,3,"1,9",,"0,25",
Semoule fine,510,"3,75","0,8",24,3,"1,9",,"0,25",
Semoule moyenne,510,"3,75","0,8",24,3,"1,9",,"0,25",
Sérac,,,,,,,,,
Séré,,,,,,,,,
Serpent,,,,,,,,,
Serpolet,,,,,,,,,
Serran,,,,,,,,,
Sésame,,"20,8","49,7","9,85","0,3","14,9",,"7,09",0
Sésame blond,,"20,8","49,7","9,85","0,3","14,9",,"7,09",0
Seven Up,,,,,,,,,
Sévereau,,,,,,,,,
Sherry,,,,,,,,,
Shichimi togarashi,,,,,,,,,
Shiitaké,258,"1,56","0,22","12,3","3,84","2,1",,"0,05",0
Shiso rouge,"60,7","0,94","< 0,5","1,53","1,1","1,4",,"< 0,01",0
Shortbread,,,,,,,,,
Siave,,,,,,,,,
Silure,,,,,,,,,
Sirop,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop à l'aspérule,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop aux fruits exotiques,,"< 0,5","< 0,5","18,4","14,9","< 0,5",,,
Sirop caribbean (saveur rhum),1060,0,0,0,0,0,,0,0
Sirop d'agave,,"< 0,5","0,5","78,1","70,2",0,,"0,25",
Sirop d'ananas,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop d'érable,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop d'orange,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop d'orgeat,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de canne,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de cannelle,,"5,2","3,7","59,4","37,6","2,6",,"2,11","14,8"
Sirop de cassis,,"1,33","0,86","9,68","9,68","5,8",,"0,14",0
Sirop de cerises,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Sirop de citrons,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de curaçao,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Sirop de fraises,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Sirop de génépi,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de glucose,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de grenadine,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de Liège,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de menthe,240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0
Sirop de miel,,"0,56",0,"81,7","79,8",0,,0,0
Sirop de pina colada,,"0,5",0,"12,8","11,2",0,,0,0
Sirop de rose,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Sirop de sucre de canne,753,13,"13,8","1,31","0,93",0,,"3,68",884
Sirop de violette,,"0,04","0,06","67,1","62,6",0,,"0,007",0
Skyr,,,,,,,,,
Smarties®,2110,"5,49","24,3",65,"57,4","1,98",,15,"12,1"
Smarties® Mini,2110,"5,49","24,3",65,"57,4","1,98",,15,"12,1"
Smoothie,,"0,62","0,26","12,4","11,7","1,08",,"0,17",
Snickers,,,,,,,,,
Soda,158,"0,14","0,078","8,67","8,67",0,,0,0
Soda à l'orange (orangina),198,"0,067","0,028","11,3","9,92",traces,,traces,0
Soho,,,,,,,,,
Soja,193,"7,08","0,1","3,64","1,32","0,86",,"0,0085",0
Soju,,,,,,,,,
